Date,NAV per Share,Ex-Dividends,,,
05-Apr-11,91.16,0,,,
06-Apr-11,91.32,0,,,
07-Apr-11,91.43,0,,,
08-Apr-11,91.49,0,,,
11-Apr-11,91.52,0,,,
12-Apr-11,91.43,0,,,
13-Apr-11,91.47,0,,,
14-Apr-11,91.45,0,,,
15-Apr-11,91.51,0,,,
18-Apr-11,91.43,0,,,
19-Apr-11,91.49,0,,,
20-Apr-11,91.66,0,,,
21-Apr-11,91.74,0,,,
25-Apr-11,91.82,0,,,
26-Apr-11,91.89,0,,,
27-Apr-11,91.93,0,,,
28-Apr-11,91.99,0,,,
29-Apr-11,92.14,0,,,
02-May-11,91.7,0.57,,,
03-May-11,91.71,0,,,
04-May-11,91.75,0,,,
05-May-11,91.74,0,,,
06-May-11,91.82,0,,,
09-May-11,91.89,0,,,
10-May-11,91.99,0,,,
11-May-11,92.02,0,,,
12-May-11,92,0,,,
13-May-11,92.05,0,,,
16-May-11,92.09,0,,,
17-May-11,92.02,0,,,
18-May-11,92,0,,,
19-May-11,92.01,0,,,
20-May-11,92,0,,,
23-May-11,91.88,0,,,
24-May-11,91.84,0,,,
25-May-11,91.74,0,,,
26-May-11,91.68,0,,,
27-May-11,91.72,0,,,
31-May-11,91.79,0,,,
01-Jun-11,91.19,0.57,,,
02-Jun-11,91.1,0,,,
03-Jun-11,90.93,0,,,
06-Jun-11,90.91,0,,,
07-Jun-11,90.78,0,,,
08-Jun-11,90.58,0,,,
09-Jun-11,90.43,0,,,
10-Jun-11,90.37,0,,,
13-Jun-11,90.18,0,,,
14-Jun-11,90.19,0,,,
15-Jun-11,90.04,0,,,
16-Jun-11,89.68,0,,,
17-Jun-11,89.62,0,,,
20-Jun-11,89.28,0,,,
21-Jun-11,89.44,0,,,
22-Jun-11,89.65,0,,,
23-Jun-11,89.5,0,,,
24-Jun-11,89.51,0,,,
27-Jun-11,89.39,0,,,
28-Jun-11,89.48,0,,,
29-Jun-11,89.79,0,,,
30-Jun-11,90.27,0,,,
01-Jul-11,89.88,0.58,,,
05-Jul-11,90.16,0,,,
06-Jul-11,90.19,0,,,
07-Jul-11,90.5,0,,,
08-Jul-11,90.52,0,,,
11-Jul-11,90.19,0,,,
12-Jul-11,90.11,0,,,
13-Jul-11,90.3,0,,,
14-Jul-11,90.35,0,,,
15-Jul-11,90.48,0,,,
18-Jul-11,90.39,0,,,
19-Jul-11,90.4,0,,,
20-Jul-11,90.65,0,,,
21-Jul-11,90.89,0,,,
22-Jul-11,91.08,0,,,
25-Jul-11,91.12,0,,,
26-Jul-11,91.2,0,,,
27-Jul-11,91.02,0,,,
28-Jul-11,90.95,0,,,
29-Jul-11,90.8,0,,,
01-Aug-11,90.29,0.55,,,
02-Aug-11,89.94,0,,,
03-Aug-11,89.6,0,,,
04-Aug-11,88.89,0,,,
05-Aug-11,87.93,0,,,
08-Aug-11,86.34,0,,,
09-Aug-11,84.96,0,,,
10-Aug-11,84.79,0,,,
11-Aug-11,84.33,0,,,
12-Aug-11,85.41,0,,,
15-Aug-11,86.32,0,,,
16-Aug-11,86.31,0,,,
17-Aug-11,86.76,0,,,
18-Aug-11,86.22,0,,,
19-Aug-11,85.84,0,,,
22-Aug-11,85.74,0,,,
23-Aug-11,85.09,0,,,
24-Aug-11,84.92,0,,,
25-Aug-11,85.26,0,,,
26-Aug-11,85.08,0,,,
29-Aug-11,85.51,0,,,
30-Aug-11,85.86,0,,,
31-Aug-11,86.7,0,,,
01-Sep-11,86.51,0.56,,,
02-Sep-11,86.42,0,,,
06-Sep-11,85.72,0,,,
07-Sep-11,86.07,0,,,
08-Sep-11,86.22,0,,,
09-Sep-11,86.05,0,,,
12-Sep-11,85.25,0,,,
13-Sep-11,85.37,0,,,
14-Sep-11,85.67,0,,,
15-Sep-11,85.93,0,,,
16-Sep-11,86.18,0,,,
19-Sep-11,85.96,0,,,
20-Sep-11,86.15,0,,,
21-Sep-11,86.06,0,,,
22-Sep-11,85.3,0,,,
23-Sep-11,84.86,0,,,
26-Sep-11,84.66,0,,,
27-Sep-11,84.79,0,,,
28-Sep-11,84.34,0,,,
29-Sep-11,83.89,0,,,
30-Sep-11,83.09,0,,,
03-Oct-11,81.97,0.54,,,
04-Oct-11,80.39,0,,,
05-Oct-11,80.59,0,,,
06-Oct-11,81.66,0,,,
07-Oct-11,82.22,0,,,
10-Oct-11,82.28,0,,,
11-Oct-11,82.96,0,,,
12-Oct-11,83.97,0,,,
13-Oct-11,84.26,0,,,
14-Oct-11,84.8,0,,,
17-Oct-11,85.04,0,,,
18-Oct-11,85.09,0,,,
19-Oct-11,85.82,0,,,
20-Oct-11,85.99,0,,,
21-Oct-11,86.7,0,,,
24-Oct-11,87.19,0,,,
25-Oct-11,87.62,0,,,
26-Oct-11,87.83,0,,,
27-Oct-11,88.74,0,,,
28-Oct-11,88.79,0,,,
31-Oct-11,88.47,0,,,
01-Nov-11,87.04,0.53,,,
02-Nov-11,87.38,0,,,
03-Nov-11,87.74,0,,,
04-Nov-11,87.76,0,,,
07-Nov-11,87.66,0,,,
08-Nov-11,87.67,0,,,
09-Nov-11,86.81,0,,,
10-Nov-11,86.88,0,,,
11-Nov-11,86.9,0,,,
14-Nov-11,86.7,0,,,
15-Nov-11,86.41,0,,,
16-Nov-11,86.31,0,,,
17-Nov-11,86.02,0,,,
18-Nov-11,85.76,0,,,
21-Nov-11,85.11,0,,,
22-Nov-11,84.74,0,,,
23-Nov-11,84.27,0,,,
25-Nov-11,84.42,0,,,
28-Nov-11,84.66,0,,,
29-Nov-11,84.71,0,,,
30-Nov-11,85.37,0,,,
01-Dec-11,85.31,0.55,,,
02-Dec-11,85.8,0,,,
05-Dec-11,86.32,0,,,
06-Dec-11,86.46,0,,,
07-Dec-11,86.59,0,,,
08-Dec-11,86.6,0,,,
09-Dec-11,86.57,0,,,
12-Dec-11,86.45,0,,,
13-Dec-11,86.58,0,,,
14-Dec-11,86.39,0,,,
15-Dec-11,86.49,0,,,
16-Dec-11,86.56,0,,,
19-Dec-11,86.65,0,,,
20-Dec-11,86.88,0,,,
21-Dec-11,87.06,0,,,
22-Dec-11,87.26,0,,,
23-Dec-11,87.41,0,,,
27-Dec-11,86.98,0.53,,,
28-Dec-11,87.13,0,,,
