Date,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
03-Dec-13,118.45,110.23,--,"31,300,000.00"
04-Dec-13,118.45,110.23,--,"30,500,000.00"
05-Dec-13,118.45,110.23,--,"30,100,000.00"
06-Dec-13,118.45,110.22,--,"30,100,000.00"
09-Dec-13,118.45,110.23,--,"30,100,000.00"
10-Dec-13,118.46,110.23,--,"30,100,000.00"
11-Dec-13,118.46,110.24,--,"30,400,000.00"
12-Dec-13,118.46,110.24,--,"30,400,000.00"
13-Dec-13,118.45,110.23,--,"30,400,000.00"
16-Dec-13,118.46,110.24,--,"30,400,000.00"
17-Dec-13,118.46,110.24,--,"30,100,000.00"
18-Dec-13,118.46,110.24,--,"30,100,000.00"
19-Dec-13,118.46,110.24,--,"30,100,000.00"
20-Dec-13,118.46,110.23,--,"30,500,000.00"
23-Dec-13,118.46,110.24,--,"30,500,000.00"
24-Dec-13,118.46,110.23,--,"30,500,000.00"
26-Dec-13,118.47,110.24,0,"30,500,000.00"
27-Dec-13,118.46,110.23,--,"29,500,000.00"
30-Dec-13,118.47,110.24,--,"26,100,000.00"
31-Dec-13,118.47,110.23,--,"25,500,000.00"
02-Jan-14,118.47,110.24,--,"24,100,000.00"
03-Jan-14,118.47,110.23,--,"24,100,000.00"
06-Jan-14,118.47,110.24,--,"24,100,000.00"
07-Jan-14,118.48,110.24,--,"24,100,000.00"
08-Jan-14,118.47,110.24,--,"23,600,000.00"
09-Jan-14,118.48,110.24,--,"23,600,000.00"
10-Jan-14,118.47,110.23,--,"23,600,000.00"
13-Jan-14,118.48,110.24,--,"23,600,000.00"
14-Jan-14,118.48,110.24,--,"23,500,000.00"
15-Jan-14,118.48,110.24,--,"23,500,000.00"
16-Jan-14,118.48,110.25,--,"23,500,000.00"
17-Jan-14,118.48,110.23,--,"23,500,000.00"
21-Jan-14,118.48,110.25,--,"23,500,000.00"
22-Jan-14,118.49,110.25,--,"22,300,000.00"
23-Jan-14,118.49,110.25,--,"22,300,000.00"
24-Jan-14,118.48,110.23,--,"22,300,000.00"
27-Jan-14,118.48,110.24,--,"21,600,000.00"
28-Jan-14,118.48,110.24,--,"21,600,000.00"
29-Jan-14,118.48,110.24,--,"21,600,000.00"
30-Jan-14,118.49,110.24,--,"21,700,000.00"
31-Jan-14,118.48,110.23,--,"21,700,000.00"
03-Feb-14,118.49,110.24,0,"21,700,000.00"
04-Feb-14,118.48,110.24,--,"24,800,000.00"
05-Feb-14,118.48,110.24,--,"25,000,000.00"
06-Feb-14,118.48,110.23,--,"25,000,000.00"
07-Feb-14,118.47,110.22,--,"25,000,000.00"
10-Feb-14,118.48,110.24,--,"25,000,000.00"
11-Feb-14,118.48,110.24,--,"26,500,000.00"
12-Feb-14,118.48,110.24,--,"26,500,000.00"
13-Feb-14,118.49,110.24,--,"26,500,000.00"
14-Feb-14,118.49,110.23,--,"26,500,000.00"
18-Feb-14,118.49,110.25,--,"26,500,000.00"
19-Feb-14,118.49,110.25,--,"25,400,000.00"
20-Feb-14,118.49,110.25,--,"25,400,000.00"
21-Feb-14,118.49,110.23,--,"25,400,000.00"
24-Feb-14,118.49,110.25,--,"25,400,000.00"
25-Feb-14,118.49,110.25,--,"24,000,000.00"
26-Feb-14,118.5,110.25,--,"24,000,000.00"
27-Feb-14,118.5,110.25,--,"23,800,000.00"
28-Feb-14,118.49,110.23,--,"23,800,000.00"
03-Mar-14,118.5,110.24,0,"23,800,000.00"
04-Mar-14,118.5,110.24,--,"20,100,000.00"
05-Mar-14,118.5,110.24,--,"20,100,000.00"
06-Mar-14,118.5,110.24,--,"20,000,000.00"
07-Mar-14,118.49,110.23,--,"20,000,000.00"
10-Mar-14,118.5,110.24,--,"20,000,000.00"
11-Mar-14,118.5,110.24,--,"19,700,000.00"
12-Mar-14,118.5,110.25,--,"18,800,000.00"
13-Mar-14,118.5,110.25,--,"18,800,000.00"
14-Mar-14,118.5,110.23,--,"18,800,000.00"
17-Mar-14,118.5,110.25,--,"18,800,000.00"
18-Mar-14,118.5,110.25,--,"19,000,000.00"
19-Mar-14,118.5,110.24,--,"19,000,000.00"
20-Mar-14,118.5,110.24,--,"19,000,000.00"
21-Mar-14,118.5,110.23,--,"19,000,000.00"
24-Mar-14,118.5,110.25,--,"19,000,000.00"
25-Mar-14,118.5,110.25,--,"19,000,000.00"
26-Mar-14,118.51,110.25,--,"19,000,000.00"
27-Mar-14,118.51,110.25,--,"19,100,000.00"
